상품코드,상품명,카테고리,판매가(원),원가(원),6월_판매수,누적_판매수,현재_재고,재고회전일수,리뷰평점,비고
P001,스텐 다용도 정리트레이 4종,주방/수납,12900,5200,318,2841,42,9,4.6,베스트셀러·꾸준한 수요
P002,극세사 청소포 50매입,청소용품,9900,3100,287,3502,28,7,4.7,재구매율 높음
P003,논슬립 옷걸이 30개세트,수납/정리,15900,6800,412,4180,15,5,4.5,재고 부족 주의
P004,실리콘 식판 커버 3p,주방/수납,13900,5900,156,1620,88,21,4.3,회전 느림·할인 검토
P005,욕실 물때 제거 스프레이,청소용품,11900,4200,341,2980,36,8,4.8,SNS 입소문 효과
P006,접이식 빨래 건조대,생활용품,34900,18500,98,742,12,14,4.4,부피 커서 보관비 부담
P007,제습제 대용량 6입,생활용품,16900,7200,389,1890,67,11,4.6,장마철 급상승
P008,주방 후드 기름때 필터,청소용품,8900,2900,203,2410,54,15,4.2,단가 낮음·묶음판매 권장
P009,냉장고 정리 수납함 세트,주방/수납,22900,10400,134,1356,9,6,4.7,재입고 필요
P010,현관 신발 정리대 4단,수납/정리,28900,14200,76,890,103,33,4.1,재고 과다·광고 중단 검토
P011,스텐 수세미 거치대,주방/수납,6900,2100,267,3120,48,12,4.5,저단가 구색상품
P012,섬유 탈취 미스트 500ml,생활용품,12900,4800,298,2240,31,9,4.6,재구매 견인 상품
P013,욕실 코너 선반 2단,수납/정리,19900,8900,112,980,6,5,4.4,재고 소진 임박
P014,식탁 매트 방수 4매,주방/수납,14900,5600,89,1120,121,38,3.9,평점 낮음·리뉴얼 검토
P015,압축 진공 봉투 10p,생활용품,17900,6900,221,1680,44,13,4.5,환절기 수요
