월,스마트스토어_매출(만원),스마트스토어_주문수,스마트스토어_광고비(만원),쿠팡_매출(만원),쿠팡_주문수,쿠팡_광고비(만원),자사몰_매출(만원),자사몰_주문수,자사몰_광고비(만원),총반품수,비고
2025-07,412,138,58,386,142,72,95,28,12,19,여름 휴가철 비수기
2025-08,398,131,55,402,148,78,88,26,10,22,에어컨 청소솔 입고 지연
2025-09,486,162,64,471,171,85,121,35,15,18,추석 선물세트 출시
2025-10,553,184,71,548,198,92,143,41,18,24,쿠팡 로켓배송 전환 시작
2025-11,872,289,118,910,328,156,201,57,28,41,블랙프라이데이·광군제 집중
2025-12,734,243,96,768,276,131,178,50,24,33,연말 선물 수요
2026-01,468,156,62,452,164,81,109,31,14,20,설 명절 배송 마감 영향
2026-02,521,173,68,498,180,88,132,38,16,17,발렌타인 기획전
2026-03,587,196,74,563,203,94,156,44,19,21,신학기 정리용품 수요
2026-04,612,204,77,598,216,98,168,48,21,23,봄맞이 대청소 키워드 상승
2026-05,698,232,89,672,242,112,189,54,24,28,가정의달 선물 수요
2026-06,645,215,82,631,228,104,174,49,22,26,장마 대비 제습 용품 판매
