날짜,채널,상품코드,카테고리,문의내용,처리상태,소요시간(분),비고
2026-06-01,스토어톡,P003,배송,논슬립 옷걸이 주문했는데 언제 발송되나요,완료,8,재고 확인 후 당일 발송
2026-06-01,쿠팡문의,P007,상품문의,제습제 대용량 사용기간이 얼마나 되나요,완료,5,약 2~3개월 안내
2026-06-02,스토어톡,P005,환불,물때 제거 스프레이 향이 너무 강해요 반품 가능한가요,완료,12,단순변심 반품 안내
2026-06-02,전화,P006,배송,빨래 건조대 박스가 찌그러져서 왔어요,완료,18,교환 처리·택배사 클레임
2026-06-03,쿠팡문의,P009,재입고,냉장고 정리 수납함 품절인데 언제 들어오나요,진행중,6,입고 미정·알림 신청 안내
2026-06-03,스토어톡,P002,상품문의,극세사 청소포 세탁기 돌려도 되나요,완료,4,30회 세탁 가능 안내
2026-06-04,이메일,P001,교환,정리트레이 색상 다른 걸로 바꾸고 싶어요,완료,9,색상 옵션 재주문 안내
2026-06-04,스토어톡,P014,환불,식탁 매트 냄새가 나요 환불해주세요,완료,15,불량 인정·전액 환불
2026-06-05,쿠팡문의,P011,배송,수세미 거치대 두 개 주문했는데 하나만 왔어요,완료,11,누락분 즉시 재발송
2026-06-05,전화,P010,상품문의,신발 정리대 조립이 어려운데 설명서 다시 받을 수 있나요,완료,7,PDF 설명서 메일 발송
2026-06-08,스토어톡,P007,배송,제습제 주문 폭주 때문인지 배송이 느려요,진행중,5,장마철 물량 증가 안내
2026-06-08,쿠팡문의,P012,상품문의,섬유 탈취 미스트 반려동물 있어도 괜찮나요,완료,8,성분표 안내·환기 권장
2026-06-09,이메일,P004,환불,식판 커버 사이즈가 안 맞아요,완료,10,사이즈 교환 안내
2026-06-09,스토어톡,P003,재입고,옷걸이 30개세트 다시 입고됐나요,완료,3,입고 완료·구매 가능 안내
2026-06-10,전화,P006,환불,건조대 다리 한쪽이 흔들려요,진행중,20,불량 검수 후 환불 예정
2026-06-11,쿠팡문의,P005,상품문의,물때 스프레이 욕실 타일에 변색 안 생기나요,완료,6,테스트 후 사용 권장
2026-06-12,스토어톡,P013,재입고,코너 선반 재고 있나요,완료,4,잔여 6개 안내
2026-06-12,이메일,P008,교환,후드 필터 사이즈가 우리 집 후드랑 달라요,완료,13,규격 안내·반품 처리
2026-06-15,스토어톡,P001,상품문의,정리트레이 식기세척기 사용 가능한가요,완료,5,사용 가능 안내
2026-06-15,쿠팡문의,P002,배송,청소포 묶음 주문 부분 배송 됐어요,완료,9,나머지 익일 도착 안내
2026-06-16,전화,P010,환불,신발 정리대 생각보다 작아서 반품할게요,완료,14,단순변심·반품비 안내
2026-06-17,스토어톡,P007,상품문의,제습제 다 쓰면 리필만 살 수 있나요,완료,6,리필 상품 준비중 안내
2026-06-18,쿠팡문의,P012,환불,탈취 미스트 펌프가 고장났어요,진행중,11,불량·재발송 또는 환불 선택
