날짜,시간,프로젝트ID,고객사,채널,유형,내용요약,처리상태
2026-01-09,10:20,P001,라온카페,카톡,요청,로고에 따뜻한 느낌 더 강조해달라,완료
2026-01-15,14:05,P001,라온카페,카톡,수정요청,메뉴판 폰트 더 크게 + 가격 강조,완료
2026-01-24,09:40,P001,라온카페,전화,확정,3차 시안으로 최종 확정,완료
2026-02-03,11:15,P004,코코공방,이메일,요청,상세페이지에 제품 사진 보정도 가능한지 문의,완료
2026-02-11,16:30,P004,코코공방,카톡,수정요청,배경 더 밝게 + 글자색 변경 5종 모두,완료
2026-02-19,13:50,P004,코코공방,카톡,추가의뢰,상세페이지 1종 더 추가 가능한지,완료
2026-02-25,10:05,P004,코코공방,전화,항의,마감 이틀 남았는데 또 수정 요청해 미안하다,완료
2026-03-04,15:20,P006,더브릿지,이메일,요청,가이드북 인쇄 규격 CMYK로 맞춰달라,완료
2026-03-21,09:30,P006,더브릿지,이메일,결제,선입금 절반 처리 잔금은 검수 후 입금 예정,완료
2026-04-18,17:10,P006,더브릿지,전화,지연,담당자 변경으로 잔금 처리 늦어진다 양해 요청,진행중
2026-03-22,11:40,P009,모모펫,카톡,수정요청,배너 색감 시안 다시 + 글자 위치 변경,완료
2026-03-28,14:25,P009,모모펫,카톡,수정요청,상세페이지 구성 순서 전면 변경 요청,완료
2026-04-05,10:50,P009,모모펫,카톡,추가의뢰,요청 많아 미안하다 추가비 지불 의사 있다,완료
2026-04-15,16:00,P009,모모펫,전화,확정,추가비 30만 합의 후 최종 확정,완료
2026-04-02,09:15,P011,한결법률,이메일,요청,홈페이지 모바일 화면 최적화 꼭 포함해달라,완료
2026-04-22,13:30,P011,한결법률,이메일,수정요청,상담 예약 폼 항목 추가 + 색상 변경,완료
2026-05-20,15:45,P011,한결법률,전화,지연,개발 외주분 잔금 회계처리 다음달로 미뤄달라,진행중
2026-06-03,10:10,P011,한결법률,이메일,독촉답변,잔금 입금 6월 중순까지 처리하겠다,진행중
2026-05-08,11:25,P016,달빛공방,카톡,요청,웹사이트에 온라인 예약 기능 넣고 싶다,진행중
2026-05-22,14:40,P016,달빛공방,카톡,수정요청,메인 색상 톤 더 차분하게,완료
2026-06-09,09:50,P016,달빛공방,전화,결제,착수금 절반 먼저 입금하겠다,완료
2026-05-19,16:20,P017,넥스트클래스,이메일,추가의뢰,랜딩페이지에 후기 섹션 추가,완료
2026-06-02,10:35,P017,넥스트클래스,카톡,수정요청,수강신청 버튼 색상+문구 변경,완료
2026-06-15,13:15,P018,모모펫,카톡,수정요청,프로모션 배너 4차 수정 요청,진행중
2026-06-08,11:00,P020,하루독서,이메일,견적문의,뉴스레터 템플릿 + 썸네일 견적 요청,진행중
2026-06-12,15:30,P020,하루독서,전화,협의,예산 조정 가능한지 단가 협의,진행중
