메뉴명,분류,판매가,원가,5월판매수량,5월매출,재고관리난이도,비고
아메리카노,음료,4500,900,1180,5310000,낮음,기본 인기 1위
카페라떼,음료,5000,1400,860,4300000,낮음,
바닐라라떼,음료,5500,1700,420,2310000,낮음,
아이스티,음료,4800,800,310,1488000,낮음,여름 대비 증가세
수제레모네이드,음료,6000,1900,265,1590000,중간,수제청 직접 제조
콜드브루,음료,5500,1600,348,1914000,낮음,
핸드드립(원두선택),음료,7000,2100,142,994000,높음,원두 신선도 관리 필요
에스프레소,음료,3800,750,96,364800,낮음,
당근케이크,디저트,6500,2400,238,1547000,중간,주말 빨리 소진
바스크치즈케이크,디저트,7000,2700,196,1372000,중간,냉장 보관 한정
스콘(플레인),디저트,3500,1100,412,1442000,낮음,당일 소진율 높음
초코쿠키,디저트,3000,900,388,1164000,낮음,
무화과타르트,디저트,7500,3100,84,630000,높음,재료 단가 높고 폐기 잦음
계절과일파운드,디저트,5000,2200,121,605000,중간,재료 수급 불안정
드립백클래스,클래스,40000,12000,17,680000,낮음,원데이 클래스
캔들클래스,클래스,45000,15000,19,855000,중간,재료키트 발주 필요
라떼아트클래스,클래스,35000,8000,22,770000,낮음,사장 직접 진행
